Month,Group,Country,Product Name,Size,Total Amount,Total Quantity,Average Price
2022-06-01,Europe,Germany,"Road-250 Black, 48",48,"$2,443.35 ",1,"$2,443.35 "
2022-06-01,North America,United States,"Road-250 Black, 48",48,"$2,443.35 ",1,"$2,443.35 "
2022-06-01,North America,United States,"Road-250 Red, 58",58,"$2,443.35 ",1,"$2,443.35 "
2022-06-01,Pacific,Australia,"Road-250 Black, 48",48,"$2,443.35 ",1,"$2,443.35 "
2022-06-01,Pacific,Australia,"Road-250 Red, 58",58,"$2,443.35 ",1,"$2,443.35 "
2022-07-01,North America,United States,"Road-250 Black, 44",44,"$2,443.35 ",1,"$2,443.35 "
2022-07-01,North America,United States,"Road-250 Black, 52",52,"$2,443.35 ",1,"$2,443.35 "
2022-07-01,North America,United States,"Road-250 Red, 58",58,"$2,443.35 ",1,"$2,443.35 "
2022-07-01,Pacific,Australia,"Road-250 Red, 58",58,"$2,443.35 ",1,"$2,443.35 "
2022-08-01,North America,Canada,"Road-250 Black, 48",48,"$2,443.35 ",1,"$2,443.35 "
2022-08-01,North America,United States,"Road-250 Black, 44",44,"$2,443.35 ",1,"$2,443.35 "
2022-08-01,North America,United States,"Road-250 Black, 48",48,"$7,330.05 ",3,"$2,443.35 "
2022-09-01,Europe,Germany,"Road-250 Black, 58",58,"$2,443.35 ",1,"$2,443.35 "
2022-09-01,North America,United States,"Road-250 Black, 48",48,"$2,443.35 ",1,"$2,443.35 "
2022-11-01,North America,United States,"Road-250 Black, 44",44,"$4,886.70 ",2,"$2,443.35 "
2022-11-01,North America,United States,"Road-250 Black, 48",48,"$2,443.35 ",1,"$2,443.35 "
2022-11-01,Pacific,Australia,"Road-250 Black, 48",48,"$2,443.35 ",1,"$2,443.35 "
2022-11-01,Pacific,Australia,"Road-250 Black, 52",52,"$2,443.35 ",1,"$2,443.35 "
2022-12-01,North America,United States,"Road-250 Black, 44",44,"$2,443.35 ",1,"$2,443.35 "
2022-12-01,Pacific,Australia,"Road-250 Black, 48",48,"$2,443.35 ",1,"$2,443.35 "
2023-01-01,North America,Canada,"Road-250 Black, 44",44,"$2,443.35 ",1,"$2,443.35 "
2023-01-01,North America,Canada,"Road-250 Black, 48",48,"$4,886.70 ",2,"$2,443.35 "
2023-01-01,North America,Canada,"Road-250 Black, 58",58,"$2,443.35 ",1,"$2,443.35 "
2023-01-01,North America,United States,"Road-250 Black, 44",44,"$2,443.35 ",1,"$2,443.35 "
2023-01-01,Pacific,Australia,"Road-250 Red, 58",58,"$2,443.35 ",1,"$2,443.35 "
2023-02-01,Pacific,Australia,"Road-250 Black, 44",44,"$2,443.35 ",1,"$2,443.35 "
2023-02-01,Pacific,Australia,"Road-250 Black, 52",52,"$2,443.35 ",1,"$2,443.35 "
2023-03-01,Europe,Germany,"Road-250 Black, 52",52,"$2,443.35 ",1,"$2,443.35 "
2023-03-01,Europe,Germany,"Road-250 Black, 58",58,"$2,443.35 ",1,"$2,443.35 "
2023-03-01,North America,United States,"Road-250 Black, 44",44,"$2,443.35 ",1,"$2,443.35 "
2023-03-01,North America,United States,"Road-250 Black, 48",48,"$2,443.35 ",1,"$2,443.35 "
2023-03-01,Pacific,Australia,"Road-250 Red, 58",58,"$2,443.35 ",1,"$2,443.35 "
2023-04-01,North America,Canada,"Road-250 Black, 48",48,"$2,443.35 ",1,"$2,443.35 "
2023-04-01,Pacific,Australia,"Road-250 Black, 52",52,"$2,443.35 ",1,"$2,443.35 "
2023-05-01,Europe,France,"Road-250 Black, 52",52,"$2,443.35 ",1,"$2,443.35 "
2023-05-01,Europe,Germany,"Road-250 Black, 48",48,"$2,443.35 ",1,"$2,443.35 "
2023-05-01,North America,Canada,"Road-250 Black, 44",44,"$2,443.35 ",1,"$2,443.35 "
2023-05-01,North America,United States,"Road-250 Black, 52",52,"$4,886.70 ",2,"$2,443.35 "
2023-05-01,Pacific,Australia,"Road-250 Black, 58",58,"$2,443.35 ",1,"$2,443.35 "
2023-06-01,Europe,Germany,"Road-250 Black, 58",58,"$1,466.01 ",1,"$1,466.01 "
2023-06-01,Europe,United Kingdom,"Road-250 Black, 48",48,"$1,466.01 ",1,"$1,466.01 "
2023-06-01,Europe,United Kingdom,"Road-250 Red, 58",58,"$2,932.02 ",2,"$1,466.01 "
2023-06-01,North America,United States,"Road-250 Black, 44",44,"$14,660.10 ",10,"$1,466.01 "
2023-06-01,North America,United States,"Road-250 Black, 52",52,"$2,932.02 ",2,"$1,466.01 "
2023-06-01,Pacific,Australia,"Road-250 Black, 52",52,"$1,466.01 ",1,"$1,466.01 "
2023-07-01,Europe,Germany,"Road-250 Black, 44",44,"$10,262.07 ",7,"$1,466.01 "
2023-07-01,Europe,United Kingdom,"Road-250 Black, 58",58,"$2,932.02 ",2,"$1,466.01 "
2023-07-01,North America,Canada,"Road-250 Black, 52",52,"$7,330.05 ",5,"$1,466.01 "
2023-07-01,North America,Canada,"Road-250 Red, 58",58,"$2,932.02 ",2,"$1,466.01 "
2023-07-01,North America,United States,"Road-250 Black, 44",44,"$8,796.06 ",6,"$1,466.01 "
2023-07-01,North America,United States,"Road-250 Black, 48",48,"$13,194.09 ",9,"$1,466.01 "
2023-07-01,North America,United States,"Road-250 Black, 52",52,"$8,796.06 ",6,"$1,466.01 "
2023-07-01,North America,United States,"Road-250 Black, 58",58,"$8,796.06 ",6,"$1,466.01 "
2023-07-01,Pacific,Australia,"Road-250 Black, 44",44,"$1,466.01 ",1,"$1,466.01 "
2023-07-01,Pacific,Australia,"Road-250 Red, 58",58,"$5,864.04 ",4,"$1,466.01 "
